"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 01, 2018","579.23","577.00","589.81","564.35","153.82K","0.32%"
"May 31, 2018","577.41","557.10","586.54","553.18","187.67K","3.66%"
"May 30, 2018","557.01","567.15","585.17","542.00","198.94K","-1.74%"
"May 29, 2018","566.90","512.00","572.27","511.00","329.84K","10.72%"
"May 28, 2018","511.99","569.00","574.00","500.00","484.57K","-10.02%"
"May 27, 2018","569.00","584.63","591.94","553.23","266.25K","-2.83%"
"May 26, 2018","585.60","583.74","606.78","578.13","135.38K","0.20%"
"May 25, 2018","584.42","602.53","615.80","567.76","251.31K","-3.00%"
"May 24, 2018","602.52","576.89","608.50","540.00","415.41K","4.44%"
"May 23, 2018","576.90","640.00","649.49","564.04","418.70K","-9.93%"
"May 22, 2018","640.51","696.51","698.11","638.28","202.52K","-7.99%"
"May 21, 2018","696.13","715.50","719.68","686.74","84.90K","-2.71%"
"May 20, 2018","715.50","695.62","722.64","687.44","116.42K","2.82%"
"May 19, 2018","695.88","693.61","717.73","682.07","108.11K","0.33%"
"May 18, 2018","693.60","667.84","694.75","657.59","148.10K","3.86%"
"May 17, 2018","667.84","706.57","718.90","660.75","151.28K","-5.52%"
"May 16, 2018","706.89","705.07","709.99","659.00","182.20K","0.26%"
"May 15, 2018","705.06","727.42","739.29","694.97","174.35K","-3.07%"
"May 14, 2018","727.41","728.83","742.32","685.53","287.31K","-0.19%"
"May 13, 2018","728.78","683.44","740.00","668.82","205.65K","6.75%"
"May 12, 2018","682.69","677.98","690.43","637.13","267.20K","0.69%"
"May 11, 2018","677.98","723.25","736.16","666.00","347.93K","-6.28%"
"May 10, 2018","723.39","751.86","768.01","722.79","174.17K","-3.79%"
"May 09, 2018","751.87","747.18","760.32","710.06","191.07K","-0.28%"
"May 08, 2018","754.00","752.39","775.49","720.33","235.60K","0.25%"
"May 07, 2018","752.14","794.17","797.96","692.28","662.51K","-5.25%"
"May 06, 2018","793.79","819.68","838.00","754.93","235.79K","-3.16%"
"May 05, 2018","819.69","784.65","830.00","782.05","193.96K","4.35%"
"May 04, 2018","785.52","779.38","808.72","760.87","253.57K","0.79%"
"May 03, 2018","779.39","688.00","790.00","687.07","383.79K","13.29%"
"May 02, 2018","687.99","671.45","692.00","662.77","167.63K","2.53%"
"May 01, 2018","671.01","670.35","675.17","628.02","221.00K","0.15%"
"Apr 30, 2018","670.00","690.89","694.47","663.43","165.25K","-2.89%"
"Apr 29, 2018","689.93","683.27","700.00","663.83","161.27K","0.97%"
"Apr 28, 2018","683.27","643.20","694.34","640.25","185.22K","6.18%"
"Apr 27, 2018","643.49","661.20","686.04","640.94","231.49K","-2.72%"
"Apr 26, 2018","661.51","616.32","666.00","600.11","272.43K","7.09%"
"Apr 25, 2018","617.70","702.99","703.60","596.99","674.54K","-12.13%"
"Apr 24, 2018","702.98","643.97","711.88","643.81","335.69K","9.16%"
"Apr 23, 2018","643.98","621.00","643.98","619.40","166.77K","3.56%"
"Apr 22, 2018","621.85","604.69","643.74","591.38","206.38K","2.73%"
"Apr 21, 2018","605.35","616.36","624.59","576.00","231.23K","-1.83%"
"Apr 20, 2018","616.65","566.92","621.51","558.04","274.75K","8.85%"
"Apr 19, 2018","566.53","525.87","569.98","522.21","211.20K","7.80%"
"Apr 18, 2018","525.55","503.14","526.89","501.87","132.76K","4.46%"
"Apr 17, 2018","503.13","511.28","522.00","501.50","156.51K","-1.60%"
"Apr 16, 2018","511.29","534.03","537.33","499.33","219.55K","-4.26%"
"Apr 15, 2018","534.04","502.43","534.18","502.43","242.20K","6.32%"
"Apr 14, 2018","502.28","495.35","514.93","486.94","187.57K","1.64%"
"Apr 13, 2018","494.16","493.55","528.36","482.23","411.86K","0.24%"
"Apr 12, 2018","493.00","430.00","498.70","413.65","392.46K","14.72%"
"Apr 11, 2018","429.74","415.71","433.14","412.13","176.17K","3.52%"
"Apr 10, 2018","415.12","398.84","417.90","391.00","146.65K","4.09%"
"Apr 09, 2018","398.79","400.33","430.73","387.31","329.86K","-0.39%"
"Apr 08, 2018","400.34","384.16","404.07","384.16","134.99K","4.21%"
"Apr 07, 2018","384.16","369.74","394.59","368.85","143.72K","3.90%"
"Apr 06, 2018","369.73","380.99","385.44","363.03","151.02K","-2.95%"
"Apr 05, 2018","380.98","378.00","387.10","366.12","182.50K","0.79%"
"Apr 04, 2018","377.99","415.41","416.54","369.82","256.60K","-9.01%"
"Apr 03, 2018","415.43","386.16","417.88","379.83","223.28K","7.76%"
"Apr 02, 2018","385.50","378.68","393.99","375.26","196.17K","1.80%"
"Apr 01, 2018","378.67","393.37","398.84","358.01","325.75K","-3.64%"
"Mar 31, 2018","392.97","393.08","418.50","389.00","273.24K","-0.03%"
"Mar 30, 2018","393.09","384.10","411.12","364.66","501.96K","2.34%"
"Mar 29, 2018","384.11","445.37","448.00","379.60","470.08K","-13.75%"
"Mar 28, 2018","445.37","448.19","465.52","439.99","165.08K","-0.55%"
